PersonID,Role,Age,OwnMonthlyIncome,ParentMonthlyIncome,CumulativeFamilyIncome,FamilySize,IncomeBracket,Occupation,MaritalStatus,RecommendedPlan,PremiumType,PlanMonthlyPayment,AvgMaxCoverage
1,Young Adult,20,103981,0,207962,1,High,Professional,Married,Individual Health Insurance,Premier,18299,669409
2,Adult,34,92044,0,92044,1,Medium,Sales Associate,Single,Individual Health Insurance,Lite,13437,669409
3,Adult,57,37229,0,37229,1,Low,Service Worker,Single,Parents Health Insurance,Basic,4515,573070
4,Adult,39,92044,0,106778,2,Medium,Clerical,Married,Family Health Insurance,Lite,17575,499383
5,Adult,23,17314,0,127667,1,Low,Blue-collar,Married,Protability Insurance,Basic,6790,326569
6,Adult,33,64266,0,119725,3,Medium,Technician,Married,Family Health Insurance,Lite,17575,499383
7,Adult,36,107277,0,107277,1,High,Professional,Single,Accidental Coverage,Premier,15431,470322
8,Adult,34,94877,0,94877,1,Medium,Technician,Single,Individual Health Insurance,Lite,13437,669409
9,Adult,51,55459,0,96770,3,Medium,Factory Worker,Married,Family Health Insurance,Lite,17575,499383
10,Child,12,0,92009,92009,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
11,Child,6,0,149521,149521,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
12,Adult,29,116867,0,181133,3,High,Factory Worker,Married,Family Health Insurance,Premier,25574,499383
13,Adult,35,110601,0,160906,3,High,Manager,Married,Family Health Insurance,Premier,25574,499383
14,Adult,61,94877,0,135845,1,Medium,Technician,Married,Parents Health Insurance,Lite,10404,573070
15,Adult,43,40968,0,40968,1,Low,Service Worker,Single,Covid Coverage,Basic,2627,541031
16,Adult,65,64266,0,64266,1,Medium,White-collar,Single,Parents Health Insurance,Lite,10404,573070
17,Adult,27,49203,0,49203,1,Low,Blue-collar,Single,Individual Health Insurance,Basic,4712,669409
18,Child,3,0,141451,141451,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
19,Adult,51,110353,0,160658,2,High,Executive,Married,Family Health Insurance,Premier,25574,499383
20,Adult,59,92044,0,129273,1,Medium,Technician,Married,Parents Health Insurance,Lite,10404,573070
21,Child,12,0,85559,85559,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
22,Adult,61,127037,0,141771,1,High,Professional,Married,Parents Health Insurance,Premier,18790,573070
23,Adult,59,37229,0,89429,1,Low,Service Worker,Married,Parents Health Insurance,Basic,4515,573070
24,Adult,55,42112,0,78883,1,Low,Service Worker,Married,Parents Health Insurance,Basic,4515,573070
